title,image_url,rating,types,page,detail_url
指环王1：护戒使者 - The Lord of the Rings: The Fellowship of the Ring,https://p1.meituan.net/movie/dd08154878aac7c8c649fe3eeb8ccd0a2498277.jpg@464w_644h_1e_1c,9.0,剧情动作奇幻冒险,9,https://ssr1.scrape.center/detail/85
射雕英雄传之东成西就 - The Eagle Shooting Heroes,https://p0.meituan.net/movie/86c5190ba1d1236093c13f2fe9ed8dd4150050.jpg@464w_644h_1e_1c,9.0,喜剧奇幻武侠古装,9,https://ssr1.scrape.center/detail/86
蝙蝠侠：黑暗骑士 - The Dark Knight,https://p0.meituan.net/movie/09658109acfea0e248a63932337d8e6a4268980.jpg@464w_644h_1e_1c,9.0,剧情动作科幻惊悚犯罪,9,https://ssr1.scrape.center/detail/87
无间道 - Infernal Affairs,https://p0.meituan.net/movie/606de8f394d40dbcbb9b87943fec71a2130408.jpg@464w_644h_1e_1c,9.0,剧情悬疑犯罪,9,https://ssr1.scrape.center/detail/88
教父2 - The Godfather: Part Ⅱ,https://p0.meituan.net/movie/bb1dee5e0b25889a2410211c1d5010ae190824.jpg@464w_644h_1e_1c,9.0,剧情犯罪,9,https://ssr1.scrape.center/detail/89
加勒比海盗 - Pirates of the Caribbean: The Curse of the Black Pearl,https://p0.meituan.net/movie/b05b94b28eca53f325ae8d807fcd4ce01798036.jpg@464w_644h_1e_1c,9.0,动作奇幻冒险,9,https://ssr1.scrape.center/detail/90
哈利·波特与魔法石 - Harry Potter and the Sorcerer's Stone,https://p0.meituan.net/movie/d66b56b77b55aa3da5987b68948444c9106742.jpg@464w_644h_1e_1c,9.0,奇幻冒险,10,https://ssr1.scrape.center/detail/91
指环王3：王者无敌 - The Lord of the Rings: The Return of the King,https://p0.meituan.net/movie/932bdfbef5be3543e6b136246aeb99b8123736.jpg@464w_644h_1e_1c,9.0,剧情动作奇幻冒险,10,https://ssr1.scrape.center/detail/92
黑客帝国 - The Matrix,https://p1.meituan.net/movie/ad974d3527879f00be2eec29135118163728582.jpg@464w_644h_1e_1c,9.0,动作科幻,10,https://ssr1.scrape.center/detail/93
剪刀手爱德华 - Edward Scissorhands,https://p1.meituan.net/movie/6a964e9cee699267053bd6a4bf6f2671195394.jpg@464w_644h_1e_1c,9.0,剧情爱情奇幻,10,https://ssr1.scrape.center/detail/94
春光乍泄 - Happy Together,https://p0.meituan.net/movie/ae7245920d95c03765fe1615f3a1fe3865785.jpg@464w_644h_1e_1c,9.0,剧情爱情,10,https://ssr1.scrape.center/detail/95
大闹天宫 - The Monkey King,https://p1.meituan.net/movie/14a7b337e8063e3ce05a5993ed80176b74208.jpg@464w_644h_1e_1c,9.0,动画奇幻,10,https://ssr1.scrape.center/detail/96
天空之城 - 天空の城ラピュタ,https://p1.meituan.net/movie/ba1ed511668402605ed369350ab779d6319397.jpg@464w_644h_1e_1c,9.0,动画奇幻冒险,10,https://ssr1.scrape.center/detail/97
音乐之声 - The Sound of Music,https://p0.meituan.net/movie/ef6d7e040278f3d727306745e8df1af5246411.jpg@464w_644h_1e_1c,9.0,剧情爱情歌舞传记,10,https://ssr1.scrape.center/detail/98
辛德勒的名单 - Schindler's List,https://p0.meituan.net/movie/b0d986a8bf89278afbb19f6abaef70f31206570.jpg@464w_644h_1e_1c,9.5,剧情历史战争,10,https://ssr1.scrape.center/detail/99
魂断蓝桥 - Waterloo Bridge,https://p0.meituan.net/movie/58782fa5439c25d764713f711ebecd1e201941.jpg@464w_644h_1e_1c,9.5,剧情爱情战争,10,https://ssr1.scrape.center/detail/100
